sample interval	    ECG
            164	 -0.005
            165	 -0.015
            166	 -0.020
            167	 -0.010
            168	  0.000
            169	 -0.020
            170	 -0.005
            171	 -0.040
            172	 -0.035
            173	 -0.050
            174	 -0.040
            175	 -0.055
            176	 -0.075
            177	 -0.050
            178	 -0.075
            179	 -0.090
            180	 -0.080
            181	 -0.090
            182	 -0.080
            183	 -0.075
            184	 -0.085
            185	 -0.085
            186	 -0.095
            187	 -0.095
            188	 -0.105
            189	 -0.080
            190	 -0.115
            191	 -0.100
            192	 -0.095
            193	 -0.100
            194	 -0.075
            195	 -0.005
            196	  0.010
            197	  0.055
            198	  0.185
            199	  0.145
            200	  0.075
            201	 -0.005
            202	 -0.025
            203	 -0.110
            204	 -0.175
            205	 -0.180
            206	 -0.220
            207	 -0.175
            208	 -0.240
            209	 -0.030
            210	  0.530
            211	  1.210
            212	  1.220
            213	 -0.105
            214	 -0.795
            215	 -0.690
            216	 -0.375
            217	 -0.165
            218	 -0.155
            219	 -0.135
            220	 -0.150
            221	 -0.120
            222	 -0.120
            223	 -0.090
            224	 -0.095
            225	 -0.050
            226	 -0.050
            227	 -0.010
            228	 -0.005
            229	  0.030
            230	  0.080
            231	  0.075
            232	  0.145
            233	  0.155
            234	  0.200
            235	  0.200
            236	  0.240
            237	  0.235
            238	  0.245
            239	  0.245
            240	  0.215
            241	  0.180
            242	  0.150
            243	  0.090
            244	  0.035
            245	  0.025
            246	  0.000
            247	 -0.015
            248	 -0.030
            249	  0.000
            250	 -0.020
            251	 -0.005
            252	 -0.025
            253	 -0.030
            254	 -0.015
            255	 -0.010
            256	 -0.035
            257	 -0.040
            258	 -0.050
            259	 -0.045
            260	 -0.040
            261	 -0.075
            262	 -0.065
            263	 -0.095
            264	 -0.085
            265	 -0.085
            266	 -0.090
            267	 -0.100
            268	 -0.100
            269	 -0.080
            270	 -0.105
            271	 -0.105
            272	 -0.100
            273	 -0.105
            274	 -0.095
            275	 -0.100
            276	 -0.090
            277	 -0.035
            278	  0.010
            279	  0.035
            280	  0.070
            281	  0.190
            282	  0.125
            283	  0.045
            284	 -0.035
            285	 -0.060
            286	 -0.155
            287	 -0.210
            288	 -0.225
            289	 -0.200
            290	 -0.215
            291	 -0.265
            292	  0.070
            293	  0.865
            294	  1.495
            295	  0.625
            296	 -0.440
            297	 -0.815
            298	 -0.600
            299	 -0.310
            300	 -0.175
            301	 -0.180
            302	 -0.165
            303	 -0.135
            304	 -0.135
            305	 -0.115
            306	 -0.105
            307	 -0.085
            308	 -0.060
            309	 -0.030
            310	 -0.020
            311	  0.015
            312	  0.050
            313	  0.070
            314	  0.105
            315	  0.165
            316	  0.200
            317	  0.205
            318	  0.235
            319	  0.235
            320	  0.265
            321	  0.260
            322	  0.235
            323	  0.215
            324	  0.170
            325	  0.125
            326	  0.090
            327	  0.025
            328	 -0.015
            329	 -0.030
            330	 -0.035
            331	 -0.040
            332	 -0.040
            333	 -0.035
            334	 -0.040
            335	 -0.020
            336	 -0.040
            337	 -0.040
            338	 -0.030
            339	 -0.045
            340	 -0.065
            341	 -0.060
            342	 -0.060
            343	 -0.090
            344	 -0.080
            345	 -0.095
            346	 -0.085
            347	 -0.105
            348	 -0.090
            349	 -0.100
            350	 -0.105
            351	 -0.115
            352	 -0.100
            353	 -0.115
            354	 -0.110
            355	 -0.135
            356	 -0.095
            357	 -0.125
            358	 -0.105
            359	 -0.085
            360	 -0.015
            361	  0.020
            362	  0.030
            363	  0.135
            364	  0.160
            365	  0.105
            366	  0.030
            367	 -0.050
            368	 -0.050
            369	 -0.170
            370	 -0.205
            371	 -0.215
            372	 -0.175
            373	 -0.210
            374	 -0.215
            375	  0.175
            376	  1.090
            377	  1.700
            378	  0.335
            379	 -0.615
            380	 -0.705
            381	 -0.460
            382	 -0.175
            383	 -0.165
            384	 -0.145
            385	 -0.155
            386	 -0.115
            387	 -0.120
            388	 -0.105
            389	 -0.105
            390	 -0.085
            391	 -0.060
            392	 -0.015
            393	 -0.005
            394	  0.020
            395	  0.050
            396	  0.080
            397	  0.105
            398	  0.180
            399	  0.205
            400	  0.240
            401	  0.235
            402	  0.270
            403	  0.270
            404	  0.280
            405	  0.260
            406	  0.230
            407	  0.175
            408	  0.135
            409	  0.090
            410	  0.045
            411	  0.000
            412	 -0.005
            413	 -0.025
            414	 -0.025
            415	 -0.025
            416	 -0.020
            417	  0.000
            418	 -0.005
            419	 -0.005
            420	 -0.005
            421	 -0.005
            422	 -0.010
            423	 -0.025
            424	 -0.020
            425	 -0.040
            426	 -0.040
            427	 -0.040
            428	 -0.050
            429	 -0.060
            430	 -0.050
            431	 -0.065
            432	 -0.060
            433	 -0.070
            434	 -0.060
            435	 -0.090
            436	 -0.080
            437	 -0.095
            438	 -0.085
            439	 -0.100
            440	 -0.090
            441	 -0.095
            442	 -0.085
            443	 -0.100
            444	 -0.075
            445	 -0.095
            446	 -0.080
            447	 -0.075
            448	  0.000
            449	  0.030
            450	  0.035
            451	  0.135
            452	  0.145
            453	  0.070
            454	  0.015
            455	 -0.045
            456	 -0.055
            457	 -0.185
            458	 -0.190
            459	 -0.220
            460	 -0.180
            461	 -0.210
            462	 -0.185
            463	  0.220
            464	  1.150
            465	  1.720
            466	  0.155
            467	 -0.700
            468	 -0.660
            469	 -0.405
            470	 -0.150
            471	 -0.160
            472	 -0.135
            473	 -0.145
            474	 -0.120
            475	 -0.125
            476	 -0.090
            477	 -0.090
            478	 -0.055
            479	 -0.040
            480	 -0.015
            481	  0.000
            482	  0.030
            483	  0.050
            484	  0.095
            485	  0.110
            486	  0.165
            487	  0.190
            488	  0.230
            489	  0.245
            490	  0.255
            491	  0.255
            492	  0.265
            493	  0.255
            494	  0.230
            495	  0.185
            496	  0.145
            497	  0.100
            498	  0.060
            499	  0.025
            500	  0.025
            501	  0.010
            502	  0.010
            503	  0.010
            504	  0.015
            505	  0.010
            506	  0.025
            507	  0.020
            508	  0.020
            509	  0.020
            510	  0.015
            511	  0.000
            512	  0.000
            513	 -0.010
            514	 -0.015
            515	 -0.020
            516	 -0.030
            517	 -0.035
            518	 -0.035
            519	 -0.045
            520	 -0.040
            521	 -0.045
            522	 -0.045
            523	 -0.055
            524	 -0.045
            525	 -0.055
            526	 -0.045
            527	 -0.060
            528	 -0.050
            529	 -0.060
            530	 -0.055
            531	 -0.080
            532	 -0.065
            533	 -0.090
            534	 -0.075
            535	 -0.090
            536	 -0.070
            537	 -0.075
            538	 -0.065
            539	 -0.080
            540	 -0.065
            541	 -0.030
            542	  0.025
            543	  0.040
            544	  0.065
            545	  0.180
            546	  0.145
            547	  0.055
            548	  0.015
            549	 -0.035
            550	 -0.060
            551	 -0.175
            552	 -0.170
            553	 -0.195
            554	 -0.175
            555	 -0.220
            556	 -0.115
            557	  0.355
            558	  1.240
            559	  1.595
            560	 -0.115
            561	 -0.815
            562	 -0.565
            563	 -0.300
            564	 -0.130
            565	 -0.160
            566	 -0.130
            567	 -0.135
            568	 -0.110
            569	 -0.120
            570	 -0.090
            571	 -0.085
            572	 -0.055
            573	 -0.040
            574	 -0.005
            575	  0.000
            576	  0.040
            577	  0.050
            578	  0.095
            579	  0.125
            580	  0.170
            581	  0.190
            582	  0.220
            583	  0.230
            584	  0.245
            585	  0.250
            586	  0.260
            587	  0.240
            588	  0.220
            589	  0.175
            590	  0.135
            591	  0.085
            592	  0.055
            593	  0.020
            594	  0.015
            595	  0.010
            596	  0.010
            597	  0.000
            598	  0.000
            599	  0.000
            600	  0.010
            601	  0.005
            602	  0.020
            603	  0.010
            604	  0.000
            605	 -0.010
            606	 -0.015
            607	 -0.020
            608	 -0.020
            609	 -0.025
            610	 -0.035
            611	 -0.030
            612	 -0.045
            613	 -0.050
            614	 -0.050
            615	 -0.055
            616	 -0.065
            617	 -0.065
            618	 -0.060
            619	 -0.065
            620	 -0.070
            621	 -0.060
            622	 -0.060
            623	 -0.055
            624	 -0.060
            625	 -0.065
            626	 -0.080
            627	 -0.065
            628	 -0.080
            629	 -0.065
            630	 -0.075
            631	 -0.070
            632	 -0.085
            633	 -0.070
            634	 -0.085
            635	 -0.075
            636	 -0.085
            637	 -0.060
            638	 -0.045
            639	  0.020
            640	  0.040
            641	  0.055
            642	  0.180
            643	  0.155
            644	  0.060
            645	  0.020
            646	 -0.025
            647	 -0.055
            648	 -0.180
            649	 -0.160
            650	 -0.170
            651	 -0.165
            652	 -0.195
            653	 -0.100
            654	  0.350
            655	  1.115
            656	  1.495
            657	 -0.040
            658	 -0.730
            659	 -0.620
            660	 -0.365
            661	 -0.130
            662	 -0.150
            663	 -0.135
            664	 -0.150
            665	 -0.120
            666	 -0.130
            667	 -0.105
            668	 -0.090
            669	 -0.055
            670	 -0.060
            671	 -0.035
            672	 -0.015
            673	  0.020
            674	  0.045
            675	  0.065
            676	  0.095
            677	  0.145
            678	  0.180
            679	  0.215
            680	  0.200
            681	  0.225
            682	  0.235
            683	  0.245
            684	  0.235
            685	  0.225
            686	  0.175
            687	  0.130
            688	  0.090
            689	  0.050
            690	  0.035
            691	  0.015
            692	  0.005
            693	  0.000
            694	 -0.005
            695	  0.000
            696	  0.000
            697	  0.000
            698	  0.000
            699	 -0.005
            700	 -0.005
            701	 -0.020
            702	 -0.020
            703	 -0.040
            704	 -0.050
            705	 -0.060
            706	 -0.060
            707	 -0.060
            708	 -0.070
            709	 -0.065
            710	 -0.075
            711	 -0.070
            712	 -0.065
            713	 -0.075
            714	 -0.075
            715	 -0.075
            716	 -0.090
            717	 -0.075
            718	 -0.085
            719	 -0.080
            720	 -0.090
            721	 -0.075
            722	 -0.090
            723	 -0.080
            724	 -0.090
            725	 -0.080
            726	 -0.100
            727	 -0.085
            728	 -0.100
            729	 -0.075
            730	 -0.085
            731	 -0.090
            732	 -0.075
            733	 -0.015
            734	  0.025
            735	  0.055
            736	  0.155
            737	  0.160
            738	  0.095
            739	  0.015
            740	 -0.035
            741	 -0.050
            742	 -0.175
            743	 -0.170
            744	 -0.190
            745	 -0.175
            746	 -0.200
            747	 -0.105
            748	  0.335
            749	  1.095
            750	  1.470
            751	  0.065
            752	 -0.660
            753	 -0.690
            754	 -0.440
            755	 -0.185
            756	 -0.160
            757	 -0.135
            758	 -0.135
            759	 -0.115
            760	 -0.115
            761	 -0.110
            762	 -0.095
            763	 -0.055
            764	 -0.050
            765	 -0.015
            766	 -0.005
            767	  0.045
            768	  0.050
            769	  0.095
            770	  0.120
            771	  0.165
            772	  0.185
            773	  0.210
            774	  0.225
            775	  0.245
            776	  0.240
            777	  0.240
            778	  0.235
            779	  0.210
            780	  0.165
            781	  0.125
            782	  0.070
            783	  0.045
            784	  0.010
            785	  0.020
            786	  0.005
            787	  0.000
            788	  0.000
            789	  0.000
            790	  0.000
            791	  0.000
            792	 -0.005
            793	 -0.010
            794	 -0.005
            795	 -0.025
            796	 -0.005
            797	 -0.040
            798	 -0.040
            799	 -0.045
            800	 -0.045
            801	 -0.040
            802	 -0.055
            803	 -0.065
            804	 -0.050
            805	 -0.065
            806	 -0.065
            807	 -0.065
            808	 -0.065
            809	 -0.070
            810	 -0.065
            811	 -0.070
            812	 -0.065
            813	 -0.070
            814	 -0.070
            815	 -0.085
            816	 -0.060
            817	 -0.090
            818	 -0.065
            819	 -0.085
            820	 -0.080
            821	 -0.085
            822	 -0.050
            823	 -0.090
            824	 -0.075
            825	 -0.055
            826	  0.005
            827	  0.055
            828	  0.060
            829	  0.160
            830	  0.155
            831	  0.080
            832	  0.015
            833	 -0.020
            834	 -0.045
            835	 -0.170
            836	 -0.170
            837	 -0.175
            838	 -0.160
            839	 -0.200
            840	 -0.105
            841	  0.360
            842	  1.160
            843	  1.550
            844	  0.070
            845	 -0.690
            846	 -0.660
            847	 -0.410
            848	 -0.155
            849	 -0.155
            850	 -0.135
            851	 -0.135
            852	 -0.105
            853	 -0.110
            854	 -0.085
            855	 -0.090
            856	 -0.065
            857	 -0.045
            858	 -0.005
            859	  0.000
            860	  0.040
            861	  0.065
            862	  0.100
            863	  0.120
            864	  0.175
            865	  0.190
            866	  0.230
            867	  0.255
            868	  0.270
            869	  0.265
            870	  0.275
            871	  0.245
            872	  0.215
            873	  0.175
            874	  0.140
            875	  0.095
            876	  0.040
            877	  0.025
            878	  0.015
            879	  0.000
            880	  0.000
            881	  0.000
            882	  0.000
            883	  0.000
            884	  0.000
            885	  0.000
            886	  0.000
            887	 -0.005
            888	 -0.010
            889	 -0.010
            890	 -0.015
            891	 -0.030
            892	 -0.035
            893	 -0.045
            894	 -0.045
            895	 -0.050
            896	 -0.045
            897	 -0.065
            898	 -0.070
            899	 -0.075
            900	 -0.070
            901	 -0.090
            902	 -0.085
            903	 -0.090
            904	 -0.070
            905	 -0.085
            906	 -0.085
            907	 -0.095
            908	 -0.085
            909	 -0.090
            910	 -0.085
            911	 -0.090
            912	 -0.090
            913	 -0.100
            914	 -0.090
            915	 -0.105
            916	 -0.090
            917	 -0.100
            918	 -0.085
            919	 -0.055
            920	  0.000
            921	  0.035
            922	  0.050
            923	  0.170
            924	  0.135
            925	  0.060
            926	  0.010
            927	 -0.035
            928	 -0.075
            929	 -0.190
            930	 -0.185
            931	 -0.205
            932	 -0.180
            933	 -0.225
            934	 -0.110
            935	  0.380
            936	  1.215
            937	  1.545
            938	 -0.025
            939	 -0.765
            940	 -0.620
            941	 -0.370
            942	 -0.155
            943	 -0.170
            944	 -0.145
            945	 -0.160
            946	 -0.130
            947	 -0.145
            948	 -0.125
            949	 -0.120
            950	 -0.080
            951	 -0.065
            952	 -0.035
            953	 -0.020
            954	  0.010
            955	  0.035
            956	  0.080
            957	  0.105
            958	  0.155
            959	  0.180
            960	  0.220
            961	  0.225
            962	  0.240
            963	  0.235
            964	  0.245
            965	  0.225
            966	  0.200
            967	  0.155
            968	  0.115
            969	  0.075
            970	  0.050
            971	  0.020
            972	  0.000
            973	 -0.010
            974	 -0.015
            975	 -0.010
            976	 -0.010
            977	 -0.005
            978	  0.000
            979	  0.000
            980	  0.000
            981	  0.000
            982	  0.000
            983	 -0.005
            984	 -0.010
            985	 -0.020
            986	 -0.025
            987	 -0.035
            988	 -0.045
            989	 -0.055
            990	 -0.055
            991	 -0.060
            992	 -0.060
            993	 -0.060
            994	 -0.055
            995	 -0.055
            996	 -0.055
            997	 -0.065
            998	 -0.060
            999	 -0.055
           1000	 -0.045
           1001	 -0.055
           1002	 -0.055
           1003	 -0.055
           1004	 -0.055
           1005	 -0.075
           1006	 -0.065
           1007	 -0.080
           1008	 -0.065
           1009	 -0.080
           1010	 -0.075
           1011	 -0.090
           1012	 -0.085
           1013	 -0.105
           1014	 -0.090
           1015	 -0.110
           1016	 -0.095
           1017	 -0.110
           1018	 -0.100
           1019	 -0.085
           1020	 -0.025
           1021	  0.010
           1022	  0.010
           1023	  0.100
           1024	  0.135
           1025	  0.075
           1026	  0.000
           1027	 -0.050
           1028	 -0.045
           1029	 -0.175
           1030	 -0.195
           1031	 -0.205
           1032	 -0.190
           1033	 -0.205
           1034	 -0.220
           1035	  0.145
           1036	  1.025
           1037	  1.605
           1038	  0.240
           1039	 -0.625
           1040	 -0.665
           1041	 -0.425
           1042	 -0.180
           1043	 -0.185
           1044	 -0.175
           1045	 -0.175
           1046	 -0.150
           1047	 -0.150
           1048	 -0.120
           1049	 -0.120
           1050	 -0.090
           1051	 -0.080
           1052	 -0.045
           1053	 -0.025
           1054	  0.000
           1055	  0.020
           1056	  0.060
           1057	  0.080
           1058	  0.130
           1059	  0.160
           1060	  0.185
           1061	  0.195
           1062	  0.210
           1063	  0.210
           1064	  0.220
           1065	  0.215
           1066	  0.195
           1067	  0.170
           1068	  0.135
           1069	  0.085
           1070	  0.045
           1071	  0.015
           1072	 -0.005
           1073	 -0.015
           1074	 -0.015
           1075	 -0.015
           1076	 -0.005
           1077	 -0.005
           1078	  0.000
           1079	  0.000
           1080	  0.015
           1081	  0.010
           1082	  0.000
           1083	  0.000
           1084	  0.000
           1085	 -0.010
           1086	 -0.015
           1087	 -0.025
           1088	 -0.030
           1089	 -0.025
           1090	 -0.040
           1091	 -0.045
           1092	 -0.040
           1093	 -0.050
           1094	 -0.055
           1095	 -0.045
           1096	 -0.030
           1097	 -0.045
           1098	 -0.050
           1099	 -0.040
           1100	 -0.045
           1101	 -0.055
           1102	 -0.055
           1103	 -0.065
           1104	 -0.065
           1105	 -0.065
           1106	 -0.070
           1107	 -0.080
           1108	 -0.065
           1109	 -0.075
           1110	 -0.075
           1111	 -0.080
           1112	 -0.070
           1113	 -0.080
           1114	 -0.080
           1115	 -0.085
           1116	 -0.065
           1117	 -0.080
           1118	 -0.080
           1119	 -0.090
           1120	 -0.090
           1121	 -0.075
           1122	 -0.025
           1123	  0.035
           1124	  0.045
           1125	  0.115
           1126	  0.165
           1127	  0.125
           1128	  0.040
           1129	 -0.015
           1130	 -0.005
           1131	 -0.135
           1132	 -0.170
           1133	 -0.185
           1134	 -0.165
           1135	 -0.180
           1136	 -0.200
           1137	  0.135
           1138	  0.890
           1139	  1.440
           1140	  0.425
           1141	 -0.470
           1142	 -0.670
           1143	 -0.455
           1144	 -0.200
           1145	 -0.155
           1146	 -0.130
           1147	 -0.140
           1148	 -0.125
           1149	 -0.130
           1150	 -0.105
           1151	 -0.110
           1152	 -0.080
           1153	 -0.060
           1154	 -0.045
           1155	 -0.030
           1156	  0.005
           1157	  0.015
           1158	  0.045
           1159	  0.085
           1160	  0.110
           1161	  0.140
           1162	  0.180
           1163	  0.205
           1164	  0.215
           1165	  0.215
           1166	  0.235
           1167	  0.225
           1168	  0.225
           1169	  0.190
           1170	  0.160
           1171	  0.125
           1172	  0.070
           1173	  0.035
           1174	  0.015
           1175	  0.010
           1176	  0.005
           1177	  0.005
           1178	  0.000
           1179	  0.005
           1180	  0.010
           1181	  0.005
           1182	  0.005
           1183	  0.010
           1184	  0.000
           1185	  0.005
           1186	  0.000
           1187	 -0.010
           1188	 -0.015
           1189	 -0.020
           1190	 -0.015
           1191	 -0.025
           1192	 -0.030
           1193	 -0.030
           1194	 -0.040
           1195	 -0.035
           1196	 -0.035
           1197	 -0.040
           1198	 -0.045
           1199	 -0.045
           1200	 -0.050
           1201	 -0.045
           1202	 -0.055
           1203	 -0.055
           1204	 -0.060
           1205	 -0.060
           1206	 -0.065
           1207	 -0.055
           1208	 -0.065
           1209	 -0.065
           1210	 -0.065
           1211	 -0.060
           1212	 -0.060
           1213	 -0.060
           1214	 -0.070
           1215	 -0.060
           1216	 -0.080
           1217	 -0.075
           1218	 -0.075
           1219	 -0.075
           1220	 -0.080
           1221	 -0.070
           1222	 -0.065
           1223	 -0.010
           1224	  0.030
           1225	  0.050
           1226	  0.100
           1227	  0.200
           1228	  0.145
           1229	  0.055
           1230	 -0.005
           1231	  0.000
           1232	 -0.120
           1233	 -0.160
           1234	 -0.170
           1235	 -0.160
           1236	 -0.175
           1237	 -0.210
           1238	  0.125
           1239	  0.835
           1240	  1.350
           1241	  0.530
           1242	 -0.335
           1243	 -0.675
           1244	 -0.540
           1245	 -0.250
           1246	 -0.145
           1247	 -0.145
           1248	 -0.135
           1249	 -0.115
           1250	 -0.115
           1251	 -0.090
           1252	 -0.090
           1253	 -0.075
           1254	 -0.060
           1255	 -0.025
           1256	  0.000
           1257	  0.030
           1258	  0.040
           1259	  0.080
           1260	  0.095
           1261	  0.130
           1262	  0.160
           1263	  0.205
           1264	  0.210
           1265	  0.220
           1266	  0.225
           1267	  0.250
           1268	  0.250
           1269	  0.230
           1270	  0.195
           1271	  0.170
           1272	  0.115
           1273	  0.075
           1274	  0.050
           1275	  0.035
           1276	  0.005
           1277	  0.015
           1278	  0.030
           1279	  0.025
           1280	  0.020
           1281	  0.020
           1282	  0.030
           1283	  0.020
           1284	  0.035
           1285	  0.015
           1286	  0.005
           1287	  0.005
           1288	 -0.005
           1289	 -0.005
           1290	 -0.020
           1291	 -0.010
           1292	 -0.015
           1293	 -0.035
           1294	 -0.030
           1295	 -0.025
           1296	 -0.025
           1297	 -0.025
           1298	 -0.040
           1299	 -0.040
           1300	 -0.035
           1301	 -0.030
           1302	 -0.030
           1303	 -0.040
           1304	 -0.030
           1305	 -0.040
           1306	 -0.030
           1307	 -0.035
           1308	 -0.035
           1309	 -0.045
           1310	 -0.045
           1311	 -0.065
           1312	 -0.055
           1313	 -0.060
           1314	 -0.060
           1315	 -0.075
           1316	 -0.050
           1317	 -0.060
           1318	 -0.060
           1319	 -0.065
           1320	 -0.070
           1321	 -0.040
           1322	  0.010
           1323	  0.055
           1324	  0.075
           1325	  0.180
           1326	  0.185
           1327	  0.100
           1328	  0.025
           1329	 -0.025
           1330	 -0.055
           1331	 -0.175
           1332	 -0.165
           1333	 -0.180
           1334	 -0.170
           1335	 -0.220
           1336	 -0.100
           1337	  0.365
           1338	  1.095
           1339	  1.450
           1340	  0.065
           1341	 -0.665
           1342	 -0.670
           1343	 -0.435
           1344	 -0.185
           1345	 -0.170
           1346	 -0.150
           1347	 -0.155
           1348	 -0.130
           1349	 -0.120
           1350	 -0.095
           1351	 -0.105
           1352	 -0.070
           1353	 -0.055
           1354	 -0.025
           1355	 -0.005
           1356	  0.035
           1357	  0.040
           1358	  0.085
           1359	  0.120
           1360	  0.165
           1361	  0.190
           1362	  0.220
           1363	  0.235
           1364	  0.250
           1365	  0.255
           1366	  0.260
           1367	  0.245
           1368	  0.215
           1369	  0.180
           1370	  0.140
           1371	  0.095
           1372	  0.060
           1373	  0.030
           1374	  0.015
           1375	  0.010
           1376	  0.010
           1377	  0.010
           1378	  0.000
           1379	  0.005
           1380	  0.010
           1381	  0.015
           1382	  0.000
           1383	  0.005
           1384	  0.000
           1385	  0.000
           1386	 -0.020
           1387	 -0.025
           1388	 -0.015
           1389	 -0.015
           1390	 -0.015
           1391	 -0.030
           1392	 -0.040
           1393	 -0.035
           1394	 -0.045
           1395	 -0.040
           1396	 -0.040
           1397	 -0.045
           1398	 -0.050
           1399	 -0.040
           1400	 -0.050
           1401	 -0.050
           1402	 -0.050
           1403	 -0.055
           1404	 -0.060
           1405	 -0.050
           1406	 -0.065
           1407	 -0.055
           1408	 -0.075
           1409	 -0.055
           1410	 -0.075
           1411	 -0.055
           1412	 -0.075
           1413	 -0.065
           1414	 -0.070
           1415	 -0.075
           1416	 -0.100
           1417	 -0.070
           1418	 -0.045
           1419	  0.010
           1420	  0.050
           1421	  0.065
           1422	  0.170
           1423	  0.155
           1424	  0.085
           1425	  0.035
           1426	 -0.020
           1427	 -0.030
           1428	 -0.160
           1429	 -0.165
           1430	 -0.190
           1431	 -0.165
           1432	 -0.205
           1433	 -0.120
           1434	  0.310
           1435	  1.150
           1436	  1.590
           1437	  0.070
           1438	 -0.685
           1439	 -0.615
           1440	 -0.385
           1441	 -0.160
           1442	 -0.175
           1443	 -0.140
           1444	 -0.150
           1445	 -0.135
           1446	 -0.140
           1447	 -0.120
           1448	 -0.115
           1449	 -0.085
           1450	 -0.080
           1451	 -0.045
           1452	 -0.030
           1453	  0.005
           1454	  0.020
           1455	  0.055
           1456	  0.085
           1457	  0.145
           1458	  0.175
           1459	  0.205
           1460	  0.215
           1461	  0.235
           1462	  0.240
           1463	  0.245
           1464	  0.235
           1465	  0.215
           1466	  0.180
           1467	  0.145
           1468	  0.095
           1469	  0.055
           1470	  0.015
           1471	  0.010
           1472	 -0.015
           1473	 -0.010
           1474	 -0.010
           1475	 -0.010
           1476	 -0.015
           1477	 -0.005
           1478	  0.000
           1479	  0.000
           1480	 -0.005
           1481	 -0.015
           1482	 -0.015
           1483	 -0.020
           1484	 -0.025
           1485	 -0.040
           1486	 -0.055
           1487	 -0.050
           1488	 -0.055
           1489	 -0.050
           1490	 -0.070
           1491	 -0.070
           1492	 -0.070
           1493	 -0.080
           1494	 -0.070
           1495	 -0.075
           1496	 -0.075
           1497	 -0.080
           1498	 -0.075
           1499	 -0.085
           1500	 -0.075
           1501	 -0.075
           1502	 -0.075
           1503	 -0.080
           1504	 -0.085
           1505	 -0.090
           1506	 -0.075
           1507	 -0.080
           1508	 -0.075
           1509	 -0.100
           1510	 -0.095
           1511	 -0.080
           1512	 -0.085
           1513	 -0.075
           1514	 -0.025
           1515	  0.030
           1516	  0.020
           1517	  0.085
           1518	  0.150
           1519	  0.105
           1520	  0.025
           1521	 -0.040
           1522	 -0.035
           1523	 -0.150
           1524	 -0.200
           1525	 -0.210
           1526	 -0.195
           1527	 -0.195
           1528	 -0.225
           1529	  0.095
           1530	  0.835
           1531	  1.390
           1532	  0.585
           1533	 -0.350
           1534	 -0.685
           1535	 -0.505
           1536	 -0.235
           1537	 -0.160
           1538	 -0.150
           1539	 -0.150
           1540	 -0.135
           1541	 -0.140
           1542	 -0.120
           1543	 -0.100
           1544	 -0.075
           1545	 -0.060
           1546	 -0.035
           1547	 -0.015
           1548	  0.010
           1549	  0.035
           1550	  0.070
           1551	  0.100
           1552	  0.140
           1553	  0.170
